date,open,high,low,close,volume
2025-01-01 00:00:00,40042.05243717343,40047.28062761168,40030.23027045787,40037.34067739156,253
2025-01-01 01:00:00,40097.21420830373,40097.994620602774,40087.268254564304,40091.51321485524,746
2025-01-01 02:00:00,40061.938127773785,40067.456153371524,40052.54068356715,40062.11027614217,544
2025-01-01 03:00:00,39936.251477931844,39951.14516836223,39927.822252854436,39945.80534727415,85
2025-01-01 04:00:00,40028.52798595616,40034.37046690358,40007.69893923924,40017.05684395734,861
2025-01-01 05:00:00,39981.35621128056,39984.349570214414,39975.3927057571,39976.69760916899,326
2025-01-01 06:00:00,40043.99731053056,40052.931701200476,40036.352080521094,40046.58819613876,82
2025-01-01 07:00:00,39964.096333422895,39968.57547348508,39956.96066073358,39964.36572187646,410
2025-01-01 08:00:00,40056.57943805144,40057.88960411109,40041.57195073726,40046.51527793131,754
2025-01-01 09:00:00,40047.230893203705,40055.95624773044,40037.67623660462,40045.88499833558,398
2025-01-01 10:00:00,40033.01235579779,40040.81761038052,40024.0253261389,40028.65102348737,281
2025-01-01 11:00:00,39972.62819029572,39985.867347426414,39962.8813524882,39977.07128808221,264
2025-01-01 12:00:00,39956.55478453842,39966.2412662817,39952.16926804068,39954.00894262418,18
2025-01-01 13:00:00,40023.539526848814,40037.95138125559,40015.826191891305,40030.22719647404,530
2025-01-01 14:00:00,39960.42482740553,39969.70704709988,39950.71629948135,39956.78113866622,690
2025-01-01 15:00:00,40025.711407196904,40040.49094407722,40020.73781072217,40030.75244579641,76
2025-01-01 16:00:00,40013.16167252839,40017.62083357071,40012.65717661346,40015.65389755822,78
2025-01-01 17:00:00,39982.930679089906,39991.79062741855,39973.33489039031,39984.11680728765,478
2025-01-01 18:00:00,40110.536774920285,40116.7395267974,40103.8131824399,40110.04305046355,40
2025-01-01 19:00:00,40213.86422038813,40221.806585565384,40205.68926072115,40213.09348529655,835
2025-01-01 20:00:00,39952.918604900406,39958.95817179506,39943.51202991546,39951.52306477703,871
2025-01-01 21:00:00,40084.96163940244,40101.779171226204,40075.957415917655,40092.16357670575,485
2025-01-01 22:00:00,40018.479240703724,40026.121037898716,40013.54727855568,40021.76530791115,107
